regiao,faixa_renda,grupo_consumo,inflacao_ponderada
RM de Belém (PA),Renda média alta,Alimentação e bebidas,0.7114499999999999
RM de Belém (PA),Renda média alta,Artigos de residência,0.01922
RM de Belém (PA),Renda média alta,Comunicação,0.07866
RM de Belém (PA),Renda média alta,Despesas pessoais,0.2623
RM de Belém (PA),Renda média alta,Educação,0.3948
RM de Belém (PA),Renda média alta,Habitação,0.7055500000000001
RM de Belém (PA),Renda média alta,Saúde e cuidados pessoais,0.62322
RM de Belém (PA),Renda média alta,Transportes,0.28782
RM de Belém (PA),Renda média alta,Vestuário,0.06280000000000001
RM de Belém (PA),Renda média baixa,Alimentação e bebidas,1.00062
RM de Belém (PA),Renda média baixa,Artigos de residência,0.0248
RM de Belém (PA),Renda média baixa,Comunicação,0.09245999999999999
RM de Belém (PA),Renda média baixa,Despesas pessoais,0.172
RM de Belém (PA),Renda média baixa,Educação,0.25943999999999995
RM de Belém (PA),Renda média baixa,Habitação,0.86005
RM de Belém (PA),Renda média baixa,Saúde e cuidados pessoais,0.5746
RM de Belém (PA),Renda média baixa,Transportes,0.23750999999999997
RM de Belém (PA),Renda média baixa,Vestuário,0.0785
RM de Curitiba (PR),Renda alta,Alimentação e bebidas,0.50922
RM de Curitiba (PR),Renda alta,Artigos de residência,0.06496
RM de Curitiba (PR),Renda alta,Comunicação,0.06601
RM de Curitiba (PR),Renda alta,Despesas pessoais,0.32899999999999996
RM de Curitiba (PR),Renda alta,Educação,0.60486
RM de Curitiba (PR),Renda alta,Habitação,0.30411
RM de Curitiba (PR),Renda alta,Saúde e cuidados pessoais,0.39086999999999994
RM de Curitiba (PR),Renda alta,Transportes,0.5496
RM de Curitiba (PR),Renda alta,Vestuário,0.17589
RM de Curitiba (PR),Renda baixa,Alimentação e bebidas,0.96876
RM de Curitiba (PR),Renda baixa,Artigos de residência,0.09408000000000001
RM de Curitiba (PR),Renda baixa,Comunicação,0.0966
RM de Curitiba (PR),Renda baixa,Despesas pessoais,0.14
RM de Curitiba (PR),Renda baixa,Educação,0.22533999999999998
RM de Curitiba (PR),Renda baixa,Habitação,0.5245200000000001
RM de Curitiba (PR),Renda baixa,Saúde e cuidados pessoais,0.41814
RM de Curitiba (PR),Renda baixa,Transportes,0.3893
RM de Curitiba (PR),Renda baixa,Vestuário,0.22099
RM de Curitiba (PR),Renda muito baixa,Alimentação e bebidas,1.06812
RM de Curitiba (PR),Renda muito baixa,Artigos de residência,0.11424
RM de Curitiba (PR),Renda muito baixa,Comunicação,0.09499
RM de Curitiba (PR),Renda muito baixa,Despesas pessoais,0.1225
RM de Curitiba (PR),Renda muito baixa,Educação,0.24312999999999996
RM de Curitiba (PR),Renda muito baixa,Habitação,0.56637
RM de Curitiba (PR),Renda muito baixa,Saúde e cuidados pessoais,0.4090499999999999
RM de Curitiba (PR),Renda muito baixa,Transportes,0.29999
RM de Curitiba (PR),Renda muito baixa,Vestuário,0.23000999999999996
RM de Curitiba (PR),Renda média,Alimentação e bebidas,0.75762
RM de Curitiba (PR),Renda média,Artigos de residência,0.07392
RM de Curitiba (PR),Renda média,Comunicação,0.09499
RM de Curitiba (PR),Renda média,Despesas pessoais,0.16974999999999998
RM de Curitiba (PR),Renda média,Educação,0.39731
RM de Curitiba (PR),Renda média,Habitação,0.38502000000000003
RM de Curitiba (PR),Renda média,Saúde e cuidados pessoais,0.42117
RM de Curitiba (PR),Renda média,Transportes,0.5450200000000001
RM de Curitiba (PR),Renda média,Vestuário,0.20745999999999998
RM de Curitiba (PR),Renda média alta,Alimentação e bebidas,0.6417
RM de Curitiba (PR),Renda média alta,Artigos de residência,0.06944
RM de Curitiba (PR),Renda média alta,Comunicação,0.09177000000000002
RM de Curitiba (PR),Renda média alta,Despesas pessoais,0.21349999999999997
RM de Curitiba (PR),Renda média alta,Educação,0.41509999999999997
RM de Curitiba (PR),Renda média alta,Habitação,0.38223
RM de Curitiba (PR),Renda média alta,Saúde e cuidados pessoais,0.42723
RM de Curitiba (PR),Renda média alta,Transportes,0.5633400000000001
RM de Curitiba (PR),Renda média alta,Vestuário,0.1804
RM de Curitiba (PR),Renda média baixa,Alimentação e bebidas,0.90252
RM de Curitiba (PR),Renda média baixa,Artigos de residência,0.08960000000000001
RM de Curitiba (PR),Renda média baixa,Comunicação,0.10787000000000001
RM de Curitiba (PR),Renda média baixa,Despesas pessoais,0.14
RM de Curitiba (PR),Renda média baixa,Educação,0.27277999999999997
RM de Curitiba (PR),Renda média baixa,Habitação,0.46592999999999996
RM de Curitiba (PR),Renda média baixa,Saúde e cuidados pessoais,0.39390000000000003
RM de Curitiba (PR),Renda média baixa,Transportes,0.46487
RM de Curitiba (PR),Renda média baixa,Vestuário,0.22549999999999998
RM de Fortaleza (CE),Renda alta,Alimentação e bebidas,0.50676
RM de Fortaleza (CE),Renda alta,Artigos de residência,0.02842
RM de Fortaleza (CE),Renda alta,Comunicação,0.014759999999999997
RM de Fortaleza (CE),Renda alta,Despesas pessoais,0.57152
RM de Fortaleza (CE),Renda alta,Educação,0.53958
RM de Fortaleza (CE),Renda alta,Habitação,0.32591000000000003
RM de Fortaleza (CE),Renda alta,Saúde e cuidados pessoais,0.59211
RM de Fortaleza (CE),Renda alta,Transportes,0.3864
RM de Fortaleza (CE),Renda alta,Vestuário,-0.0066300000000000005
RM de Fortaleza (CE),Renda baixa,Alimentação e bebidas,0.96408
RM de Fortaleza (CE),Renda baixa,Artigos de residência,0.041159999999999995
RM de Fortaleza (CE),Renda baixa,Comunicação,0.0216
RM de Fortaleza (CE),Renda baixa,Despesas pessoais,0.2432
RM de Fortaleza (CE),Renda baixa,Educação,0.20102
RM de Fortaleza (CE),Renda baixa,Habitação,0.5621200000000001
RM de Fortaleza (CE),Renda baixa,Saúde e cuidados pessoais,0.63342
RM de Fortaleza (CE),Renda baixa,Transportes,0.2737
RM de Fortaleza (CE),Renda baixa,Vestuário,-0.00833
RM de Fortaleza (CE),Renda muito baixa,Alimentação e bebidas,1.0629600000000001
RM de Fortaleza (CE),Renda muito baixa,Artigos de residência,0.04998
RM de Fortaleza (CE),Renda muito baixa,Comunicação,0.021240000000000002
